,name,age,location,gender,join_date,total tweets,followers,following,verified,tweet,likes,retweets,date,word count,launguage,is quote,hashtags,trending,tweet id
3952,Aaron25708134,,,,2022-05-09,340,157,35,False,"RT @Aaron25708134: @SharkayaMomma CashApp 
$AMJ19751 
Ty",0,1,2023-01-09,6,en,False,[],,1612459909899030531
3953,nemg1994,,,,2021-11-30,109,111,160,False,RT @nemg1994: @KauanzinCrf_ @fubazintremdorj Rulf Rulf Rulf Rulf 😂😂😂😂😂😂😂,0,1,2023-01-09,9,en,False,[],,1612459909890859014
3954,_Best_Southwest,,,,2019-02-15,903,102,151,False,"RT @wfaaweather: Here we go again...

#wfaaweather https://t.co/FLwmc8ite4",0,13,2023-01-09,7,en,False,"[{'text': 'wfaaweather', 'indices': [38, 50]}]",,1612459909882286082
3955,6322dwt,,,,2020-08-31,19605,580,686,False,"RT @JINYOUNG: PARK JINYOUNG The 1st Album 
'Chapter 0: WITH'
TEASER PHOTO YOU ver.1

🔜2023.01.18(KST)

#박진영 #ParkJinYoung 
#Chapter0: #WITH…",0,2882,2023-01-09,16,en,False,"[{'text': '박진영', 'indices': [103, 107]}, {'text': 'ParkJinYoung', 'indices': [108, 121]}, {'text': 'Chapter0', 'indices': [123, 132]}, {'text': 'WITH', 'indices': [134, 139]}]",,1612459909878288384
3956,MusashiMiamoto4,,,,2022-07-20,46,14,132,False,RT @hodgetwins: Why does this keep happening… https://t.co/mjbXXw1Nzx,0,4716,2023-01-09,8,en,False,[],,1612459909878280193
3957,azulcco,,,,2019-09-27,1163,340,237,False,RT @bIondecity: this energy all 2023 https://t.co/N6QKgAZG9k,0,2131,2023-01-09,7,en,False,[],,1612459909878005760
3958,KatieWe15402766,,,,2022-12-06,1961,0,1,False,"# Schwedts residents fear nightmare scenario if refinery, their main source of jobs and heating, is forced to close Deal to combine with rebranded Cairn will create £1.4bn Africa-focused oil and gas group",0,0,2023-01-09,33,en,False,[],,1612459909873819648
3959,bbockarii,,,,2020-08-05,92857,1920,244,False,"RT @loudlikeloveflx: The VIBE
#FELIX #용복 https://t.co/OuOaJJ66E9",0,2106,2023-01-09,6,en,False,"[{'text': 'FELIX', 'indices': [30, 36]}, {'text': '용복', 'indices': [37, 40]}]",,1612459909865672705
3960,Shan53671314,,,,2022-12-06,1975,2,6,False,# Three-day closure will compound concerns in European countries as they strive to secure supplies ahead of winter Investors have probably seen only the first phase of this bear market in stocks,0,0,2023-01-09,32,en,False,[],,1612459909865508865
3961,Laxmisa46314905,,,,2022-12-25,12831,10,5,False,"RT @ImShaaan: I have not failed. I’ve just found 10,000 ways that won’t work.

FANS DEMAND ANKIT IN BB",0,10,2023-01-09,18,en,False,[],,1612459909848924161
